iter	RMSE
0	26.19018134
1	23.4276649
2	20.95878484
3	18.68750038
4	16.63656646
5	14.90051899
6	13.3780726
7	12.02106781
8	10.78661844
9	9.650273374
10	8.729817556
11	7.878794482
12	7.173678307
13	6.467308591
14	5.860651935
15	5.322395754
16	4.844713305
17	4.418169511
18	4.039584497
19	3.695955001
20	3.395577966
21	3.135645177
22	2.909786938
23	2.71406303
24	2.539603498
25	2.388516306
26	2.265702747
27	2.148917587
28	2.040891149
29	1.950118649
30	1.867965524
31	1.800352287
32	1.7432632
33	1.699006454
34	1.657964549
35	1.616574137
36	1.584756289
37	1.551205457
38	1.521462467
39	1.49529661
40	1.467409025
41	1.446008192
42	1.428266439
43	1.400407429
44	1.385389687
45	1.365461425
46	1.351445264
47	1.340220307
48	1.329754011
49	1.322200338
50	1.316119422
51	1.303477916
52	1.295835696
53	1.286434436
54	1.278251424
55	1.263289132
56	1.257853083
57	1.248411925
58	1.242869654
59	1.234986914
60	1.227963095
61	1.213419898
62	1.203592638
63	1.196983897
64	1.186394836
65	1.181367413
66	1.166181604
67	1.150147717
68	1.141713921
69	1.131937922
70	1.119389888
71	1.117103372
72	1.112962278
73	1.110787048
74	1.104707155
75	1.097362352
76	1.089880224
77	1.079175149
78	1.075514998
79	1.068009694
80	1.054163769
81	1.047830353
82	1.035970281
83	1.031395249
84	1.027336899
85	1.021845905
86	1.011594927
87	1.006314778
88	0.9981239661
89	0.989375807
90	0.9843695144
91	0.9754606192
92	0.9709588405
93	0.9664454702
94	0.9561103027
95	0.949437679
96	0.9392273111
97	0.9342219301
98	0.9299422261
99	0.9198506702
100	0.9139912181
101	0.9106532098
102	0.9058230581
103	0.8980791928
104	0.8960688171
105	0.8887795642
106	0.8821574429
107	0.8764615669
108	0.8720576653
109	0.8657272463
110	0.8622545764
111	0.8590609688
112	0.8522670576
113	0.8483197331
114	0.8427453605
115	0.834682109
116	0.8297222337
117	0.82418923
118	0.8194139362
119	0.8134024316
120	0.8093762179
121	0.8055109885
122	0.79924215
123	0.7953213366
124	0.7917429228
125	0.7869602554
126	0.7823961205
127	0.7777520615
128	0.7727547205
129	0.7700003337
130	0.7665380329
131	0.7640269145
132	0.760229842
133	0.7582773367
134	0.7551228585
135	0.7516709444
136	0.7458004484
137	0.7397558063
138	0.7370478451
139	0.7321848989
140	0.7281808052
141	0.7239270579
142	0.7197954742
143	0.7153641841
144	0.7084911672
145	0.7044619002
146	0.7009340053
147	0.6967550581
148	0.6932382783
149	0.6906962965
150	0.6860710534
151	0.6827343001
152	0.6793007332
153	0.6779526633
154	0.6770444075
155	0.6744369035
156	0.672045491
157	0.6688155115
158	0.6644573689
159	0.6599160125
160	0.656052542
161	0.6530758803
162	0.6504165943
163	0.6483092401
164	0.6476058814
165	0.6453434581
166	0.6422115752
167	0.6403606308
168	0.6384139214
169	0.6352942965
170	0.6324963117
171	0.6271439724
172	0.6265391134
173	0.6235000552
174	0.6215053877
175	0.6186850396
176	0.6161074457
177	0.6155662735
178	0.6150446112
179	0.6122643815
180	0.6084655252
181	0.6079769177
182	0.6060832248
183	0.6056318814
184	0.6035772884
185	0.5998912964
186	0.5977186083
187	0.5955839347
188	0.5928816321
189	0.5893714972
190	0.5859457952
191	0.582986545
192	0.5807113452
193	0.5783397152
194	0.5746920811
195	0.5714648775
196	0.5690850578
197	0.567768839
198	0.5652284252
199	0.561816908
200	0.5586747013
201	0.5559588794
202	0.5540804909
203	0.5509830586
204	0.5487243502
205	0.5476289877
206	0.5466413214
207	0.5441326532
208	0.5432376071
209	0.5425377029
210	0.5414963518
211	0.5396476978
212	0.5370448647
213	0.5339705379
214	0.5326961965
215	0.5300487861
216	0.5276564754
217	0.5261687881
218	0.5236570808
219	0.521377085
220	0.5194046629
221	0.5169873281
222	0.5138208325
223	0.512410829
224	0.5097929651
225	0.5087397624
226	0.5077708023
227	0.5056367654
228	0.5042819326
229	0.5035460586
230	0.5018843359
231	0.4998478381
232	0.4978136598
233	0.4947669638
234	0.4922775686
235	0.4914880489
236	0.4899329569
237	0.4892799156
238	0.4880054189
239	0.4853596783
240	0.4841704476
241	0.4835962755
242	0.4827880183
243	0.4802970789
244	0.4775654394
245	0.4750497888
246	0.4739447915
247	0.4721182084
248	0.4698402412
249	0.4670199206
250	0.4650517631
251	0.4631647487
252	0.4616881528
253	0.460383978
254	0.458614766
255	0.4574856026
256	0.456249179
257	0.4545037287
258	0.4532169572
259	0.4510024716
260	0.447835952
261	0.4453995546
262	0.443450243
263	0.4421872317
264	0.4392639183
265	0.4380764039
266	0.4370621562
267	0.4363924641
268	0.4353875617
269	0.4337173442
270	0.4325267279
271	0.4313940946
272	0.4298586386
273	0.4279777093
274	0.4260149226
275	0.4243043197
276	0.4230652318
277	0.4211814352
278	0.4190226006
279	0.4180607091
280	0.4162970377
281	0.4145226338
282	0.4136586283
283	0.4122795109
284	0.4111663073
285	0.4093746876
286	0.4068684288
287	0.4058119674
288	0.4040463985
289	0.4026764149
290	0.4008963013
291	0.3993316362
292	0.3982160829
293	0.397196586
294	0.3957774274
295	0.3948428072
296	0.3933708755
297	0.3927381523
298	0.3911784811
299	0.3891572194
