iter	Passed	Remaining
0	12	3772
1	26	3953
2	37	3734
3	47	3498
4	57	3372
5	67	3322
6	77	3232
7	87	3187
8	93	3031
9	100	2900
10	105	2766
11	110	2652
12	116	2571
13	121	2486
14	126	2411
15	132	2351
16	137	2290
17	142	2236
18	148	2195
19	153	2153
20	158	2111
21	165	2094
22	171	2060
23	176	2027
24	181	2000
25	187	1971
26	192	1944
27	197	1922
28	203	1897
29	208	1874
30	213	1855
31	218	1834
32	224	1815
33	229	1796
34	235	1781
35	240	1766
36	246	1751
37	251	1735
38	257	1721
39	263	1710
40	268	1697
41	274	1687
42	280	1673
43	285	1659
44	291	1649
45	296	1635
46	301	1622
47	308	1617
48	313	1605
49	318	1592
50	324	1582
51	329	1570
52	334	1559
53	340	1550
54	345	1539
55	350	1528
56	356	1520
57	361	1509
58	367	1499
59	372	1491
60	378	1481
61	383	1471
62	389	1463
63	394	1453
64	399	1443
65	405	1436
66	410	1427
67	415	1417
68	421	1410
69	426	1401
70	431	1392
71	437	1384
72	442	1375
73	447	1366
74	454	1362
75	459	1354
76	464	1346
77	470	1339
78	475	1331
79	481	1322
80	487	1316
81	492	1308
82	497	1300
83	503	1293
84	508	1285
85	513	1277
86	518	1270
87	524	1262
88	529	1255
89	535	1248
90	540	1240
91	545	1233
92	551	1226
93	556	1219
94	561	1212
95	567	1205
96	572	1198
97	577	1191
98	583	1184
99	588	1177
100	594	1171
101	600	1166
102	606	1159
103	611	1153
104	617	1146
105	622	1139
106	627	1132
107	633	1125
108	638	1118
109	643	1112
110	649	1105
111	654	1098
112	660	1092
113	665	1085
114	670	1079
115	676	1073
116	682	1067
117	687	1060
118	693	1054
119	698	1047
120	704	1041
121	710	1036
122	715	1029
123	720	1023
124	726	1017
125	731	1010
126	736	1003
127	744	999
128	749	993
129	755	987
130	760	981
131	766	975
132	772	969
133	778	963
134	783	957
135	789	951
136	794	945
137	799	938
138	805	932
139	810	926
140	815	920
141	821	914
142	828	909
143	835	905
144	842	900
145	849	895
146	857	892
147	864	887
148	872	884
149	879	879
150	887	875
151	893	869
152	898	863
153	905	858
154	910	851
155	916	845
156	921	839
157	926	833
158	932	826
159	938	820
160	943	814
161	948	808
162	954	802
163	959	795
164	964	789
165	970	783
166	975	777
167	981	770
168	986	764
169	991	758
170	997	752
171	1002	745
172	1007	739
173	1012	733
174	1018	727
175	1023	721
176	1029	715
177	1035	709
178	1040	703
179	1046	697
180	1051	691
181	1056	685
182	1062	679
183	1067	673
184	1072	666
185	1078	661
186	1084	655
187	1089	649
188	1095	643
189	1100	637
190	1105	630
191	1111	625
192	1116	619
193	1121	613
194	1127	607
195	1133	601
196	1138	595
197	1144	589
198	1149	583
199	1154	577
200	1160	571
201	1165	565
202	1170	559
203	1177	554
204	1183	548
205	1188	542
206	1193	536
207	1199	530
208	1204	524
209	1210	518
210	1215	512
211	1220	506
212	1226	501
213	1231	495
214	1237	489
215	1243	483
216	1248	477
217	1253	471
218	1259	465
219	1265	460
220	1270	454
221	1276	448
222	1282	442
223	1288	437
224	1293	431
225	1298	425
226	1304	419
227	1309	413
228	1314	407
229	1321	402
230	1326	396
231	1331	390
232	1337	384
233	1342	378
234	1348	372
235	1354	367
236	1359	361
237	1364	355
238	1370	349
239	1375	343
240	1380	338
241	1386	332
242	1391	326
243	1397	320
244	1403	314
245	1408	309
246	1413	303
247	1419	297
248	1424	291
249	1429	285
250	1435	280
251	1440	274
252	1446	268
253	1451	262
254	1456	257
255	1462	251
256	1469	245
257	1474	239
258	1480	234
259	1485	228
260	1490	222
261	1496	217
262	1501	211
263	1507	205
264	1512	199
265	1518	194
266	1523	188
267	1529	182
268	1534	176
269	1539	171
270	1545	165
271	1550	159
272	1555	153
273	1561	148
274	1566	142
275	1572	136
276	1577	131
277	1583	125
278	1588	119
279	1594	113
280	1600	108
281	1605	102
282	1611	96
283	1617	91
284	1622	85
285	1628	79
286	1633	73
287	1638	68
288	1644	62
289	1649	56
290	1654	51
291	1660	45
292	1665	39
293	1671	34
294	1676	28
295	1681	22
296	1686	17
297	1692	11
298	1697	5
299	1702	0
